City_Tier,CC_Contacted_LY,Service_Score,Account_user_count,account_segment,CC_Agent_Score,rev_per_month,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Loyalty_Score,Tenure_Group,Payment_CC,Payment_DC,Payment_Wallet,Payment_UPI,Gender_Male,Marital_Status_Married,Marital_Status_Single,Login_device_Computer,Login_device_Mobile,Complain_ly_1.0,Churn
0,0.8445640023899975,3,-0.6976968164190572,3,0,-1.1805566924179858,-0.3225749589627526,1.9688079464900916,-1.0185838739716706,-0.581216431429289,-0.09401927866178429,0,0,1,0,0,0,1,0,0,0,1,0
2,1.313573389372097,4,0.2954010454819943,0,3,0.0857390949893987,0.21024508719013135,1.0195040492558671,1.5398254895847348,0.6392052533496877,0.03217448531739115,2,0,0,1,0,1,0,0,0,1,0,0
0,0.2583022686623733,3,-0.6976968164190572,3,2,-0.24734026506113888,-1.3882150512685207,-0.8791037452125816,-0.45004845984802494,-0.3101882357212911,-0.831096215755083,2,1,0,0,0,0,0,1,0,1,0,0
2,0.14104992191684845,3,0.2954010454819943,1,3,0.0857390949893987,2.3415252718016673,0.544852100638755,1.8240931966465577,2.9673136103586,1.5984879551430833,3,0,1,0,0,1,1,0,1,0,0,0
0,1.4308257361176215,4,0.2954010454819943,0,0,-0.6549964554650904,-0.8553950051156366,1.0195040492558671,2.3926286107702035,1.580650701490813,0.06954752772575391,2,0,1,0,0,0,0,1,1,0,1,0
2,0.02379757517132363,3,-0.6976968164190572,3,4,0.0857390949893987,0.21024508719013135,-0.4044517965954694,-0.7343161669098478,-0.29866357637300356,-0.3896636192802229,2,0,1,0,0,0,0,0,0,1,0,0
2,1.899835123099721,3,-1.6907946783201089,3,1,-0.6549964554650904,-0.8553950051156366,1.4941559978729795,0.6870223683992663,-0.3906621501360556,-0.589694199894691,2,0,1,0,0,1,0,1,0,1,0,0
0,-0.0934547715742012,4,0.2954010454819943,2,2,0.36735368127907075,-0.8553950051156366,-0.4044517965954694,-1.0185838739716706,-0.675400716448051,-0.5323577848690578,4,1,0,0,0,1,0,1,1,0,0,1
0,-0.0934547715742012,4,0.2954010454819943,2,2,5.279499419789506,-1.1218050281920786,0.07020015202164279,-0.45004845984802494,-0.5100814651071015,1.1863199818335697,2,0,1,0,0,1,0,1,0,1,1,1
0,0.14104992191684845,2,-2.6838925402211604,3,0,0.36735368127907075,-0.8553950051156366,0.544852100638755,-0.7343161669098478,-0.6316864913338573,-0.030206227137827734,2,0,1,0,0,1,1,0,1,0,0,0
0,0.2583022686623733,2,-0.6976968164190572,0,2,0.0857390949893987,-1.3882150512685207,-0.8791037452125816,0.6870223683992663,0.852014049246511,-0.3560958752824179,0,1,0,0,0,1,0,0,0,1,0,0
2,1.7825827763541962,3,2.2815967692840973,3,2,1.018955522346246,1.5422952025723413,-0.4044517965954694,-0.45004845984802494,0.18537211625506375,-0.730996033721257,1,0,1,0,0,0,1,0,1,0,0,0
0,1.5480780828631464,3,-0.6976968164190572,3,2,-0.6549964554650904,-0.05616493588631064,-0.8791037452125816,-0.7343161669098478,-0.3604595946026134,-1.5859909423617107,2,0,1,0,0,1,1,0,1,0,1,0
0,1.196321042626572,3,0.2954010454819943,2,3,0.0857390949893987,0.21024508719013135,0.07020015202164279,-0.7343161669098478,-0.46596983794641567,-0.9535998594187478,4,0,0,0,0,1,0,0,0,1,1,0
2,-1.1487258922839247,2,-0.6976968164190572,3,3,0.8264746454438883,-1.3882150512685207,-0.8791037452125816,-1.3028515810334933,-0.6010865337539223,0.3622638888990623,1,0,0,1,0,1,1,0,1,0,0,0
0,0.02379757517132363,2,-0.6976968164190572,1,4,1.4982631963571749,-0.8553950051156366,-0.8791037452125816,-0.7343161669098478,2.237754985366436,0.9942914711939852,1,0,1,0,0,0,0,1,1,0,1,0
0,1.313573389372097,3,-0.6976968164190572,0,1,0.8264746454438883,-1.1218050281920786,-0.4044517965954694,-0.1657807527862021,0.5978754405144507,0.003670235367181095,3,1,0,0,0,1,0,1,0,1,0,0
0,-0.21070711831972602,3,-0.6976968164190572,2,3,-1.1805566924179858,-1.3882150512685207,-0.4044517965954694,0.6870223683992663,-0.8081329999766009,-0.7065862701881901,2,1,0,0,0,0,1,0,0,1,0,0
2,-0.6797165053018254,3,1.288498907383046,3,2,0.0857390949893987,0.47665511026657337,1.9688079464900916,0.6870223683992663,-0.3638375119978008,0.9428310610946115,4,0,1,0,0,1,0,0,0,1,1,1
2,0.14104992191684845,2,0.2954010454819943,3,2,0.0857390949893987,-0.8553950051156366,-0.4044517965954694,-0.7343161669098478,-0.5158437947812456,-0.6907939683629605,4,0,0,0,1,1,0,0,0,0,0,1
1,1.5480780828631464,3,0.2954010454819943,2,3,-0.6549964554650904,0.21024508719013135,-0.4044517965954694,-0.45004845984802494,-0.6608955417510683,-1.2019330822671501,1,1,0,0,0,1,0,1,0,1,0,0
0,-0.7969688520473502,2,-0.6976968164190572,2,2,0.8264746454438883,1.2758851794958994,-0.8791037452125816,-0.7343161669098478,2.9673136103586,0.9813528135949513,4,0,0,0,1,1,1,0,0,1,1,0
2,0.2583022686623733,3,0.2954010454819943,0,2,-0.6549964554650904,0.7430651333430154,0.07020015202164279,-0.7343161669098478,0.6209247592110253,-0.11674286559109251,2,1,0,0,0,1,1,0,0,1,0,0
2,-0.21070711831972602,3,-0.6976968164190572,2,2,-1.1805566924179858,-0.8553950051156366,-0.4044517965954694,-1.3028515810334933,-1.1125429675899834,-0.8616824914156636,2,0,1,0,0,1,0,0,0,1,0,0
0,-1.0314735455383999,3,-1.6907946783201089,3,2,0.6112993319422937,1.2758851794958994,3.86741574095854,1.255557782522912,0.17364875588353004,2.706369802864142,1,1,0,0,0,0,1,0,0,1,0,0
0,-1.1487258922839247,4,-1.6907946783201089,0,3,-0.6549964554650904,-1.1218050281920786,0.07020015202164279,0.9712900754610891,0.3860601497338599,0.3507576609211058,4,0,1,0,0,0,0,1,1,0,0,1
0,-1.3832305857749743,3,1.288498907383046,2,1,-1.1805566924179858,0.47665511026657337,0.07020015202164279,0.9712900754610891,-1.0497534442441423,-0.15171126919717756,4,0,1,0,0,1,1,0,1,0,0,0
0,-1.2659782390294496,4,0.2954010454819943,4,1,1.3520348823967834,1.8087052256487834,-0.4044517965954694,-0.1657807527862021,2.363731434104612,1.936573096301994,1,1,0,0,0,1,1,0,0,1,0,0
0,-0.7969688520473502,2,-0.6976968164190572,1,4,0.0857390949893987,-1.3882150512685207,-0.4044517965954694,-0.7343161669098478,2.2657718296441693,1.408174018719636,3,1,0,0,0,1,1,0,0,1,0,0
2,-0.0934547715742012,2,-0.6976968164190572,3,0,-1.1805566924179858,-1.3882150512685207,-0.4044517965954694,-0.7343161669098478,-0.6030735439863855,-0.740318589984817,2,0,0,1,0,1,1,0,1,0,0,0
0,-0.6797165053018254,2,-0.6976968164190572,2,4,5.618481462367018,-0.8553950051156366,-0.4044517965954694,2.9611640248938493,-0.6521526967282297,1.429482013965238,1,1,0,0,0,1,0,1,0,1,1,0
0,1.313573389372097,2,-0.6976968164190572,3,2,0.6112993319422937,-0.004643693971287761,-0.4044517965954694,-0.45004845984802494,-0.5631346383138728,-0.5345176946747978,3,0,1,0,0,0,0,1,1,0,0,0
0,0.14104992191684845,3,-2.6838925402211604,3,4,0.36735368127907075,0.47665511026657337,-0.4044517965954694,-1.3028515810334933,-0.48981396073597594,-0.2569005799185258,1,1,0,0,0,1,1,0,0,1,0,0
0,1.196321042626572,4,0.2954010454819943,3,0,0.0857390949893987,-0.5889849820391947,3.86741574095854,-0.7343161669098478,-0.12420407796272322,1.1684850550647021,2,1,0,0,0,0,1,0,0,1,1,0
0,-0.21070711831972602,3,0.2954010454819943,2,2,0.8264746454438883,1.2758851794958994,-0.4044517965954694,0.11848695427562071,-0.48981396073597594,-0.1713564958791958,0,0,1,0,0,1,0,1,0,1,0,0
2,-1.1487258922839247,3,0.2954010454819943,0,2,-1.1805566924179858,-0.8553950051156366,3.86741574095854,-1.3028515810334933,-0.0808872548950225,2.097395699455728,2,1,0,0,0,1,1,0,0,1,0,0
2,0.9618163491355223,3,-0.6976968164190572,2,3,-1.1805566924179858,1.5422952025723413,-0.8791037452125816,-0.7343161669098478,-0.9662990144806821,0.4985859005780081,3,0,0,1,0,0,0,1,0,1,1,1
0,-1.3832305857749743,2,-0.6976968164190572,2,3,-0.24734026506113888,1.5422952025723413,-0.4044517965954694,-0.45004845984802494,-1.115920884985171,0.09058163945443659,1,0,1,0,0,1,0,0,0,1,0,0
2,0.14104992191684845,3,-0.6976968164190572,1,1,0.0857390949893987,0.21024508719013135,-0.8791037452125816,-0.7343161669098478,-1.059291093359966,-0.9284522661725677,2,0,1,0,0,0,0,0,0,1,0,0
0,-1.3832305857749743,2,0.2954010454819943,2,2,-0.6549964554650904,-0.3225749589627526,-0.8791037452125816,-0.7343161669098478,-0.29369605079184524,0.28017439174304126,1,1,0,0,0,1,0,0,0,1,0,0
0,-0.32795946506525087,4,0.2954010454819943,2,4,0.36735368127907075,0.7430651333430154,0.07020015202164279,-0.45004845984802494,-0.24759741339869612,0.6522805471096329,3,0,1,0,0,0,1,0,0,1,1,0
0,-0.6797165053018254,4,0.2954010454819943,0,3,5.331949299345495,-0.5889849820391947,-0.4044517965954694,2.676896317832026,0.5150171138207296,1.6529918134097377,2,0,0,0,0,1,0,1,0,1,0,0
0,-1.1487258922839247,2,0.2954010454819943,2,4,-0.6549964554650904,-0.5889849820391947,-0.4044517965954694,-0.7343161669098478,-0.7517019093746429,-0.07452957134873955,2,1,0,0,0,0,0,0,0,1,0,0
2,1.5480780828631464,2,0.2954010454819943,0,3,-0.6549964554650904,-1.1218050281920786,-0.4044517965954694,-1.3028515810334933,2.9673136103586,-0.28884412338287,4,0,0,1,0,1,0,1,0,1,1,1
0,-0.6797165053018254,3,0.2954010454819943,2,0,0.36735368127907075,-0.8553950051156366,-0.4044517965954694,-0.1657807527862021,-0.627712470868931,-0.1938925319180848,4,0,1,0,0,1,1,0,0,1,0,0
0,-0.7969688520473502,3,1.288498907383046,3,4,1.1930756552244597,1.2758851794958994,0.544852100638755,-1.0185838739716706,-0.19971046679632995,0.6715407604434857,4,0,0,0,0,1,1,0,1,0,0,0
0,-1.2659782390294496,4,0.2954010454819943,2,1,0.0857390949893987,-0.3225749589627526,-0.4044517965954694,-0.45004845984802494,-0.6424163465891598,0.4257110832605141,1,1,0,0,0,0,1,0,0,1,0,0
1,1.313573389372097,3,2.2815967692840973,1,2,0.0857390949893987,-1.1218050281920786,-0.4044517965954694,-1.0185838739716706,-0.7844875782102874,-1.3588254798962804,4,0,0,0,1,1,1,0,0,1,0,1
0,1.6653304296086713,3,1.288498907383046,1,3,0.0857390949893987,1.2758851794958994,-0.4044517965954694,-0.45004845984802494,-0.6338722025895673,-1.4841502330280005,4,1,0,0,0,1,0,1,0,1,0,1
0,-0.0934547715742012,4,1.288498907383046,1,3,0.36735368127907075,-0.8553950051156366,1.0195040492558671,1.5398254895847348,2.9673136103586,1.9521465804747153,1,0,1,0,0,1,1,0,0,1,0,0
1,1.196321042626572,2,0.2954010454819943,2,3,-1.1805566924179858,-1.1218050281920786,-0.4044517965954694,-1.3028515810334933,-1.0213391979199165,-1.7324469331063679,4,0,0,0,1,0,1,0,1,0,0,1
0,-0.7969688520473502,4,1.288498907383046,2,3,1.1930756552244597,-0.05616493588631064,-0.4044517965954694,-1.0185838739716706,-0.07194570884893775,0.6042104947385807,1,1,0,0,0,1,1,0,0,1,0,0
0,-1.2659782390294496,4,0.2954010454819943,4,0,1.3520348823967834,1.8087052256487834,-0.4044517965954694,-0.1657807527862021,2.363731434104612,1.936573096301994,1,1,0,0,0,1,1,0,0,1,0,0
2,-0.4452118118107757,2,-0.6976968164190572,2,3,0.8264746454438883,-0.3225749589627526,-0.4044517965954694,-0.7343161669098478,-0.8202537623946276,0.2296802093817553,1,0,0,1,0,1,0,0,0,1,0,0
0,-0.5624641585563005,3,0.2954010454819943,2,0,0.0857390949893987,1.5422952025723413,0.544852100638755,-0.45004845984802494,-0.44272181822659495,0.1812620755479553,4,0,1,0,0,1,0,1,0,1,1,0
0,2.486096856827345,4,0.2954010454819943,3,2,1.018955522346246,-0.5889849820391947,-0.4044517965954694,0.9712900754610891,0.06635020333051014,-1.2013733428803288,2,1,0,0,0,1,1,0,0,1,0,0
0,0.9618163491355223,4,0.2954010454819943,2,3,1.3520348823967834,0.7430651333430154,0.07020015202164279,-0.1657807527862021,-0.00796397936361856,0.10008514974925067,1,0,1,0,0,0,0,0,0,0,1,1
0,-1.0314735455383999,3,0.2954010454819943,3,0,0.6112993319422937,2.0751152487252256,1.9688079464900916,1.255557782522912,0.2302785475087348,1.6087328663474592,0,1,0,0,0,1,1,0,0,1,1,0
0,0.7273116556444726,4,0.2954010454819943,4,4,1.018955522346246,0.21024508719013135,0.544852100638755,1.5398254895847348,2.285840632992049,0.899142224263878,2,1,0,0,0,1,1,0,1,0,0,0
2,-0.21070711831972602,2,0.2954010454819943,0,1,0.6112993319422937,-0.3225749589627526,3.86741574095854,2.9611640248938493,0.5420404529822311,2.4669327920596618,1,0,0,1,0,0,0,1,0,1,0,0
2,0.02379757517132363,2,-2.6838925402211604,3,4,-0.24734026506113888,2.6079352948781094,1.0195040492558671,0.6870223683992663,-0.35728037823067155,0.2952171886229091,2,1,0,0,0,0,1,0,0,1,1,0
0,1.0790686958810471,4,2.2815967692840973,0,4,0.0857390949893987,0.7430651333430154,-0.4044517965954694,0.9712900754610891,1.0626371338876233,-0.16079705996542465,1,1,0,0,0,1,1,0,0,1,1,0
0,-0.914221198792875,2,-0.6976968164190572,2,0,-0.24734026506113888,-0.5889849820391947,-0.4044517965954694,-0.45004845984802494,-0.7437538684447894,-0.32092134531831984,4,0,0,0,0,0,0,1,1,0,1,0
0,-0.4452118118107757,3,0.2954010454819943,2,2,-0.24734026506113888,-1.1218050281920786,0.07020015202164279,-0.45004845984802494,-0.5263749490133013,-0.20270096181557376,4,1,0,0,0,1,0,1,0,0,1,0
0,-1.2659782390294496,3,0.2954010454819943,2,2,-1.1805566924179858,-0.3225749589627526,-0.4044517965954694,0.40275466133744353,-0.6845409635173819,-0.1496883782444316,2,0,0,0,0,1,0,1,0,1,0,1
0,-0.914221198792875,2,-2.6838925402211604,4,3,0.8264746454438883,-0.8553950051156366,0.07020015202164279,-0.45004845984802494,1.8469100726408998,1.71845916379694,3,1,0,0,0,1,0,1,0,1,0,0
0,-0.0934547715742012,2,-0.6976968164190572,2,1,-0.24734026506113888,-1.1218050281920786,-0.8791037452125816,-0.7343161669098478,-1.0684313404292975,-0.8511649943478193,2,1,0,0,0,1,0,0,0,1,1,0
0,-0.21070711831972602,2,-0.6976968164190572,3,2,-0.24734026506113888,-0.8553950051156366,-0.8791037452125816,0.6870223683992663,-0.8629744823925892,-0.9299142317558116,4,0,0,0,1,0,0,1,0,1,0,0
0,-0.32795946506525087,2,-0.6976968164190572,4,0,0.8264746454438883,-1.3882150512685207,-0.8791037452125816,-1.0185838739716706,0.6159572336298664,0.5886585535949691,3,1,0,0,0,1,1,0,0,1,0,0
2,-0.6797165053018254,2,1.288498907383046,3,3,1.018955522346246,0.21024508719013135,-0.8791037452125816,-1.3028515810334933,-0.17248842661158226,-0.1440748511367535,4,0,1,0,0,1,0,1,0,1,0,1
0,-0.7969688520473502,3,-1.6907946783201089,1,1,-1.1805566924179858,-0.8553950051156366,-0.4044517965954694,0.6870223683992663,-0.29369605079184524,-0.03794818672809387,1,0,0,0,1,1,0,0,0,1,0,0
0,-0.7969688520473502,3,-0.6976968164190572,3,3,0.36735368127907075,1.5422952025723413,-0.4044517965954694,-1.3028515810334933,-0.06777298736076459,0.22899198345493865,2,0,0,0,1,0,1,0,0,1,1,0
0,-0.7969688520473502,2,-0.6976968164190572,3,0,-0.6549964554650904,0.7430651333430154,-0.8791037452125816,-0.45004845984802494,0.24836034062415105,-0.3184471644294719,4,0,1,0,0,1,1,0,1,0,0,0
2,0.2583022686623733,3,2.2815967692840973,2,2,-0.6549964554650904,0.47665511026657337,0.07020015202164279,-1.0185838739716706,-0.29369605079184524,-0.6060078067195234,4,0,0,1,0,0,1,0,1,0,0,1
0,1.0790686958810471,3,-2.6838925402211604,3,4,0.0857390949893987,1.2758851794958994,-0.8791037452125816,0.6870223683992663,-0.42563353022741,-1.3446106307599925,4,1,0,0,0,1,0,1,0,1,0,0
2,2.3688445100818205,3,0.2954010454819943,3,2,-1.1805566924179858,1.5422952025723413,-0.4044517965954694,0.6870223683992663,-0.29369605079184524,-1.905686452546056,2,0,0,1,0,0,1,0,0,1,0,0
0,-1.3832305857749743,3,-0.6976968164190572,3,3,0.6112993319422937,-1.1218050281920786,1.0195040492558671,-0.45004845984802494,-0.30919473060505925,1.2249095995201031,2,0,1,0,0,0,1,0,0,1,0,0
0,-1.1487258922839247,2,-0.6976968164190572,4,0,-1.1805566924179858,-1.3882150512685207,0.544852100638755,-0.45004845984802494,1.7384193139484014,1.374633229754426,1,0,0,0,1,0,1,0,0,1,1,0
0,0.7273116556444726,4,0.2954010454819943,3,0,0.0857390949893987,1.0094751564194573,0.544852100638755,2.1083609037083804,0.235047372066647,-0.02233782028493523,2,0,1,0,0,1,1,0,0,1,1,0
2,-0.7969688520473502,3,-0.6976968164190572,3,0,0.6112993319422937,-0.8553950051156366,-0.4044517965954694,-0.7343161669098478,0.39639260294266887,0.38615315992245025,0,0,1,0,0,1,1,0,1,0,0,0
0,-0.7969688520473502,3,-0.6976968164190572,2,0,-1.1805566924179858,-0.3225749589627526,-0.8791037452125816,-1.3028515810334933,-1.381385452042272,-0.8681283696303465,2,0,1,0,0,1,0,1,1,0,0,0
0,-0.32795946506525087,3,0.2954010454819943,0,3,0.0857390949893987,-0.3225749589627526,0.07020015202164279,0.11848695427562071,1.06283583491087,1.0688377751022116,3,0,0,0,0,0,1,0,0,0,1,0
2,-1.1487258922839247,3,-0.6976968164190572,2,3,-1.1805566924179858,0.47665511026657337,-0.4044517965954694,-1.3028515810334933,-1.0982364939162474,-0.4971422467652891,4,0,0,0,0,1,1,0,0,1,0,0
2,-0.21070711831972602,2,0.2954010454819943,3,2,1.1930756552244597,-1.3882150512685207,-0.4044517965954694,-0.1657807527862021,-0.4240439220414397,-0.14765520769128576,4,1,0,0,0,1,0,1,0,1,0,0
0,1.4308257361176215,3,-1.6907946783201089,2,0,-0.6549964554650904,-1.1218050281920786,-0.4044517965954694,0.11848695427562071,-0.552007381012078,-1.5263250557273782,4,1,0,0,0,1,1,0,0,1,1,0
2,-1.2659782390294496,4,0.2954010454819943,3,1,1.1930756552244597,-1.1218050281920786,0.07020015202164279,0.40275466133744353,0.09734756295693812,0.8769507149741128,0,0,1,0,0,0,0,1,0,1,1,1
0,0.14104992191684845,4,0.2954010454819943,2,1,-0.24734026506113888,-0.05616493588631064,0.07020015202164279,-1.0185838739716706,-0.8250225869525397,-0.6303114391286515,4,0,1,0,0,1,0,1,1,0,0,0
2,0.14104992191684845,2,-2.6838925402211604,4,2,0.6112993319422937,0.21024508719013135,-0.4044517965954694,0.9712900754610891,1.1309902858843617,0.4520123638288552,1,0,0,1,0,1,0,1,0,1,1,1
2,-0.6797165053018254,3,1.288498907383046,0,4,0.6112993319422937,1.5422952025723413,-0.4044517965954694,2.3926286107702035,0.9879255491470023,0.7245250996840674,1,0,1,0,0,1,1,0,1,0,1,0
