Tenure,City_Tier,CC_Contacted_LY,Payment,Gender,Service_Score,Account_user_count,account_segment,CC_Agent_Score,Marital_Status,rev_per_month,Complain_ly,rev_growth_yoy,coupon_used_for_payment,Day_Since_CC_connect,cashback,Login_device,KM_segments,Churn
4.0,2.0,8.0,DC,Male,3.0,4.0,Regular Plus,3.0,Married,2.0,0.0,22.0,1.0,4.0,145.64,Mobile,2,0
8.0,1.0,14.0,COD,Male,3.0,3.0,HNI,4.0,Single,3.0,0.0,13.0,0.0,13.0,186.95,Mobile,3,0
0.0,3.0,22.0,Wallet,Male,3.0,3.0,HNI,3.0,Married,5.0,0.0,13.0,0.0,0.0,181.61,Mobile,0,1
0.0,1.0,31.0,DC,Female,3.0,3.0,Regular Plus,4.0,Married,2.0,1.0,19.0,0.0,8.0,120.22,Computer,0,1
20.0,3.0,26.0,Wallet,Male,2.0,3.0,Super,5.0,Single,4.0,0.0,13.0,1.0,7.0,149.6,Mobile,3,0
11.0,1.0,12.0,DC,Female,3.0,1.0,Super,5.0,Single,7.0,1.0,14.0,0.0,12.0,164.8,Mobile,3,0
15.0,1.0,11.0,DC,Male,3.0,4.0,Regular Plus,3.0,Divorced,11.0,1.0,13.0,2.0,8.0,149.61,Mobile,2,1
9.0,1.0,13.0,CC,Male,3.0,3.0,Regular Plus,3.0,Single,6.0,0.0,22.0,1.0,9.0,125.19,Mobile,2,0
0.0,3.0,16.0,DC,Female,3.0,4.0,Super,1.0,Single,4.0,1.0,12.0,0.0,3.0,148.87,Mobile,0,0
6.0,1.0,25.0,DC,Female,3.0,3.0,Super,1.0,Married,2.0,1.0,15.0,6.0,1.0,150.78,Others,2,0
9.0,3.0,29.0,Wallet,Male,4.0,4.0,HNI,4.0,Divorced,5.0,0.0,17.0,4.0,10.0,212.2,Mobile,1,0
7.0,1.0,20.0,CC,Female,3.0,3.0,Super,3.0,Single,4.0,0.0,11.0,0.0,3.0,164.42,Mobile,2,0
25.0,3.0,19.0,DC,Male,3.0,4.0,Regular,4.0,Married,5.0,0.0,25.0,3.0,11.0,329.47,Computer,1,0
7.0,1.0,30.0,DC,Female,4.0,4.0,HNI,1.0,Single,3.0,1.0,13.0,4.0,13.0,259.58,Computer,1,0
7.0,3.0,18.0,DC,Female,3.0,3.0,Super,5.0,Divorced,5.0,0.0,17.0,1.0,2.0,165.0,Mobile,3,0
9.0,3.0,34.0,DC,Male,3.0,2.0,Super,2.0,Single,3.0,0.0,13.0,5.0,7.0,160.37,Mobile,2,0
1.0,1.0,17.0,CC,Male,4.0,4.0,Regular Plus,3.0,Single,6.0,0.0,13.0,1.0,1.0,146.04,Computer,0,1
8.0,1.0,17.0,DC,Male,4.0,4.0,Regular Plus,3.0,Single,102.0,1.0,12.0,2.0,3.0,154.36,Mobile,3,1
7.0,1.0,19.0,DC,Male,2.0,1.0,Super,1.0,Married,6.0,0.0,13.0,3.0,2.0,148.24,Computer,2,0
6.0,1.0,20.0,CC,Male,2.0,3.0,HNI,3.0,Divorced,5.0,0.0,11.0,0.0,7.0,222.91000000000003,Mobile,2,0
13.0,3.0,33.0,DC,Female,3.0,6.0,Super,3.0,Married,9.0,0.0,22.0,1.0,3.0,189.36,Computer,2,0
8.0,1.0,31.0,DC,Male,3.0,3.0,Super,3.0,Married,3.0,1.0,16.0,0.0,2.0,161.89,Computer,2,0
1.0,1.0,28.0,COD,Male,3.0,4.0,Regular Plus,4.0,Divorced,5.0,1.0,17.0,2.0,2.0,156.58,Mobile,0,0
20.0,3.0,8.0,Wallet,Male,2.0,3.0,Super,4.0,Married,8.0,0.0,11.0,0.0,0.0,149.78,Computer,3,0
22.0,1.0,18.0,DC,Female,2.0,3.0,Regular,5.0,Single,12.0,1.0,13.0,0.0,2.0,292.65,Computer,3,0
30.0,1.0,29.0,CC,Male,3.0,3.0,HNI,2.0,Single,8.0,0.0,12.0,1.0,4.0,210.12,Mobile,0,0
10.0,1.0,16.0,CC,Female,3.0,3.0,Regular Plus,4.0,Married,2.0,0.0,11.0,1.0,7.0,139.36,Mobile,3,0
0.0,3.0,12.0,DC,Male,3.0,5.0,Super,3.0,Divorced,5.0,1.0,18.0,6.0,7.0,161.72,Mobile,0,1
0.0,3.0,19.0,UPI,Male,2.0,4.0,Super,3.0,Divorced,5.0,0.0,13.0,1.0,2.0,154.07,Others,0,1
19.0,2.0,31.0,CC,Male,3.0,4.0,Regular Plus,4.0,Single,3.0,0.0,17.0,1.0,3.0,146.77,Mobile,3,0
0.0,1.0,11.0,UPI,Male,2.0,3.0,Regular Plus,3.0,Married,8.0,1.0,21.0,0.0,2.0,1972.0,Mobile,0,0
8.0,3.0,20.0,CC,Male,3.0,4.0,HNI,3.0,Married,3.0,0.0,19.0,2.0,2.0,211.28,Mobile,2,0
8.0,3.0,16.0,DC,Male,3.0,3.0,Regular Plus,3.0,Divorced,2.0,0.0,13.0,1.0,0.0,124.03999999999999,Mobile,2,0
14.0,1.0,9.0,CC,Female,3.0,2.0,Super,3.0,Married,7.0,0.0,21.0,7.0,9.0,188.77,Mobile,1,0
1.0,1.0,8.0,DC,Female,4.0,2.0,HNI,4.0,Single,3.0,0.0,12.0,2.0,8.0,199.46,Computer,0,1
2.0,1.0,6.0,DC,Male,3.0,5.0,Regular Plus,2.0,Married,2.0,0.0,18.0,2.0,8.0,127.19999999999999,Computer,0,0
24.0,1.0,7.0,CC,Male,4.0,4.0,Super Plus,2.0,Married,11.0,0.0,23.0,1.0,4.0,298.99,Mobile,1,0
27.0,1.0,11.0,CC,Male,2.0,3.0,Regular,5.0,Married,5.0,0.0,11.0,1.0,2.0,294.06,Mobile,1,0
8.0,3.0,17.0,Wallet,Male,2.0,3.0,Super,1.0,Married,2.0,0.0,11.0,1.0,2.0,149.68,Computer,2,0
14.0,1.0,12.0,CC,Male,2.0,3.0,Regular Plus,5.0,Single,123.0,1.0,13.0,1.0,17.0,147.21,Mobile,3,0
27.0,1.0,29.0,DC,Female,2.0,3.0,Super,3.0,Single,7.0,0.0,16.1933907790708,1.0,3.0,151.69,Computer,0,0
15.0,1.0,19.0,CC,Male,3.0,1.0,Super,5.0,Married,6.0,0.0,18.0,1.0,0.0,155.38,Mobile,3,0
7.0,1.0,28.0,CC,Female,4.0,4.0,Super,1.0,Married,5.0,1.0,14.0,7.0,2.0,173.78,Mobile,1,0
6.0,1.0,16.0,DC,Male,3.0,4.0,Regular Plus,3.0,Single,8.0,0.0,21.0,1.0,5.0,155.38,Mobile,2,0
9.0,3.0,8.0,CC,Male,3.0,4.0,HNI,3.0,Married,2.0,0.0,13.0,8.0,0.0,175.96,Mobile,1,0
99.0,3.0,26.0,Wallet,Female,3.0,3.0,Regular Plus,4.0,Single,2.0,1.0,22.0,0.0,2.0,131.4,Mobile,0,1
13.0,1.0,6.0,DC,Male,2.0,3.0,Regular Plus,4.0,Divorced,4.0,0.0,22.0,1.0,3.0,123.87,Mobile,3,0
8.0,3.0,19.0,DC,Female,3.0,3.0,Regular,2.0,Divorced,5.0,0.0,17.0,0.0,2.0,126.72,Mobile,2,0
23.0,1.0,6.0,CC,Male,2.0,4.0,Regular Plus,3.0,Divorced,3.0,0.0,15.0,0.0,2.0,165.25,Mobile,2,0
30.0,1.0,15.0,DC,Female,4.0,4.0,Regular Plus,5.0,Married,6.0,1.0,19.0,2.0,3.0,167.57,Mobile,3,0
9.0,1.0,12.0,COD,Male,4.0,4.0,HNI,4.0,Single,105.0,0.0,14.0,1.0,14.0,205.95,Mobile,1,0
10.0,1.0,8.0,CC,Female,2.0,4.0,Regular Plus,5.0,Divorced,3.0,0.0,14.0,1.0,2.0,142.2,Mobile,3,0
3.0,3.0,31.0,Wallet,Male,2.0,4.0,HNI,4.0,Single,3.0,1.0,12.0,1.0,0.0,1943.0,Mobile,0,1
2.0,1.0,12.0,DC,Male,3.0,4.0,Regular Plus,1.0,Married,6.0,0.0,13.0,1.0,4.0,148.44,Mobile,0,0
1.0,1.0,11.0,COD,Male,3.0,5.0,Super,5.0,Married,10.0,0.0,21.0,3.0,1.0,169.98,Computer,0,0
19.0,1.0,7.0,CC,Female,4.0,4.0,Regular Plus,2.0,Married,5.0,0.0,15.0,1.0,3.0,147.7,Mobile,2,0
1.0,2.0,29.0,UPI,Male,3.0,6.0,Regular,3.0,Married,5.0,0.0,12.0,1.0,1.0,140.55,Mobile,0,1
1.0,1.0,32.0,CC,Male,3.0,5.0,Regular,4.0,Single,5.0,0.0,21.0,1.0,3.0,148.13,Mobile,0,1
22.0,1.0,17.0,DC,Male,4.0,5.0,Regular,4.0,Married,6.0,0.0,13.0,4.0,10.0,1914.0,Mobile,1,0
0.0,2.0,28.0,UPI,Female,2.0,4.0,Regular Plus,4.0,Married,2.0,0.0,12.0,1.0,0.0,128.63,Computer,0,1
16.0,1.0,11.0,CC,Male,4.0,5.0,Regular Plus,4.0,Married,10.0,0.0,16.0,1.0,1.0,176.41,Mobile,3,0
24.0,1.0,7.0,CC,Male,4.0,4.0,Super Plus,1.0,Married,11.0,0.0,23.0,1.0,4.0,298.99,Mobile,2,0
23.0,3.0,14.0,Wallet,Male,2.0,3.0,Regular Plus,4.0,Divorced,8.0,0.0,15.0,1.0,2.0,138.75,Mobile,3,0
1.0,1.0,13.0,DC,Male,3.0,4.0,Regular Plus,1.0,Single,5.0,1.0,22.0,3.0,3.0,157.75,Mobile,0,0
10.0,1.0,39.0,CC,Male,4.0,4.0,Super,3.0,Married,9.0,0.0,14.0,1.0,8.0,183.37,Mobile,2,0
20.0,1.0,26.0,DC,Female,4.0,4.0,Regular Plus,4.0,Divorced,11.0,1.0,19.0,2.0,4.0,179.63,Others,3,1
6.0,1.0,9.0,CC,Male,3.0,4.0,Super,1.0,Married,7.0,1.0,24.0,6.0,9.0,191.62,Mobile,1,0
8.0,1.0,24.0,CC,Male,4.0,4.0,Super Plus,5.0,Married,9.0,0.0,17.0,3.0,10.0,295.07,Computer,1,0
16.0,3.0,16.0,Wallet,Female,2.0,4.0,HNI,2.0,Single,7.0,0.0,15.0,10.0,17.0,207.31,Mobile,1,0
11.0,3.0,18.0,CC,Female,2.0,1.0,Super,5.0,Married,4.0,1.0,26.0,4.0,7.0,162.05,Mobile,3,0
19.0,1.0,27.0,CC,Male,4.0,6.0,HNI,5.0,Married,5.0,1.0,19.0,1.0,8.0,233.51,Mobile,3,0
0.0,1.0,10.0,COD,Female,2.0,3.0,Regular Plus,1.0,Single,4.0,1.0,14.0,1.0,3.0,142.6,Computer,0,0
2.0,1.0,14.0,CC,Male,3.0,4.0,Regular Plus,3.0,Single,4.0,1.0,12.0,2.0,3.0,153.54,Others,0,0
9.0,1.0,7.0,COD,Male,3.0,4.0,Regular Plus,3.0,Single,2.0,0.0,15.0,1.0,6.0,145.58,Mobile,2,1
26.0,1.0,10.0,CC,Male,2.0,1.0,Super Plus,4.0,Single,8.0,0.0,13.0,2.0,3.0,272.98,Mobile,3,0
10.0,1.0,17.0,CC,Male,2.0,3.0,Regular Plus,2.0,Divorced,4.0,1.0,12.0,0.0,2.0,126.25999999999999,Mobile,2,0
1.0,1.0,16.0,UPI,Female,2.0,3.0,Super,3.0,Single,4.0,0.0,13.0,0.0,7.0,136.6,Mobile,0,0
29.0,1.0,15.0,CC,Male,2.0,3.0,Super Plus,1.0,Married,8.0,0.0,11.0,0.0,1.0,211.02999999999997,Mobile,2,0
0.0,3.0,12.0,DC,Male,2.0,5.0,Super,4.0,Single,9.0,0.0,17.0,0.0,0.0,171.35,Mobile,0,1
18.0,1.0,11.0,UPI,Male,3.0,2.0,Regular,2.0,Divorced,2.0,0.0,13.0,1.0,7.0,165.25,Mobile,2,0
9.0,1.0,11.0,UPI,Female,3.0,3.0,Super,4.0,Married,6.0,1.0,22.0,1.0,0.0,176.62,Mobile,3,0
2.0,1.0,11.0,DC,Male,2.0,3.0,Super,1.0,Married,3.0,0.0,19.0,0.0,3.0,192.53,Computer,0,0
1.0,3.0,20.0,Wallet,Female,3.0,6.0,Regular Plus,3.0,Married,3.0,0.0,18.0,2.0,1.0,165.25,Computer,0,1
1.0,1.0,27.0,CC,Male,3.0,1.0,Super,5.0,Single,5.0,0.0,21.0,0.0,7.0,158.61,Mobile,0,0
7.0,3.0,38.0,Wallet,Female,3.0,4.0,Super,3.0,Married,2.0,0.0,22.0,1.0,7.0,165.25,Mobile,2,0
10.0,1.0,6.0,DC,Female,3.0,3.0,Super,4.0,Married,7.0,0.0,12.0,4.0,3.0,164.47,Mobile,3,0
20.0,1.0,8.0,UPI,Female,2.0,3.0,Super Plus,1.0,Married,2.0,1.0,11.0,3.0,3.0,267.52,Mobile,2,0
10.0,1.0,24.0,DC,Male,4.0,4.0,Super,1.0,Married,5.0,1.0,20.0,3.0,12.0,191.86,Mobile,2,0
6.0,3.0,11.0,DC,Male,3.0,3.0,Super,1.0,Married,7.0,0.0,13.0,1.0,2.0,199.98,Computer,2,0
9.0,1.0,11.0,DC,Male,3.0,3.0,Regular Plus,1.0,Single,2.0,0.0,15.0,0.0,0.0,110.50999999999999,Computer,2,0
31.0,1.0,15.0,COD,Female,3.0,4.0,HNI,4.0,Married,5.0,1.0,15.0,2.0,5.0,233.52,Others,1,0
3.0,3.0,8.0,COD,Male,3.0,3.0,Regular Plus,4.0,Married,2.0,0.0,18.0,1.0,0.0,124.75999999999999,Mobile,0,0
2.0,3.0,16.0,CC,Male,2.0,4.0,Super,3.0,Single,10.0,0.0,11.0,1.0,4.0,158.69,Mobile,0,0
1.0,1.0,30.0,CC,Male,3.0,2.0,Regular Plus,1.0,Married,3.0,1.0,12.0,1.0,5.0,152.25,Mobile,0,0
5.0,3.0,7.0,DC,Female,4.0,4.0,Super,2.0,Single,10.0,1.0,12.0,2.0,6.0,184.93,Mobile,2,1
1.0,1.0,19.0,DC,Male,4.0,4.0,Regular Plus,2.0,Single,4.0,0.0,16.0,2.0,1.0,138.51,Computer,0,0
18.0,3.0,19.0,Wallet,Male,2.0,1.0,Super Plus,3.0,Single,7.0,1.0,17.0,1.0,8.0,236.95,Mobile,2,1
14.0,3.0,12.0,DC,Male,3.0,5.0,HNI,5.0,Married,7.0,1.0,22.0,1.0,13.0,229.75,Computer,1,0
24.0,1.0,7.0,CC,Male,3.0,5.0,Regular Plus,3.0,Married,4.0,0.0,16.0,2.0,3.0,161.9,Mobile,2,0
3.0,3.0,17.0,Wallet,Male,3.0,4.0,Regular Plus,4.0,Married,3.0,0.0,15.0,3.0,3.0,147.97,Mobile,0,0
3.0,1.0,29.0,CC,Female,3.0,3.0,HNI,5.0,Divorced,2.0,1.0,23.0,0.0,8.0,222.16000000000003,Mobile,0,0
17.0,1.0,8.0,DC,Female,3.0,4.0,Regular,2.0,Divorced,5.0,0.0,13.0,6.0,7.0,120.11000000000001,Others,1,0
1.0,3.0,7.0,COD,Female,4.0,6.0,Regular Plus,5.0,Single,2.0,0.0,22.0,2.0,1.0,148.25,Computer,0,1
1.0,3.0,17.0,DC,Male,2.0,3.0,Super,5.0,Single,5.0,0.0,14.0,1.0,3.0,154.98,Computer,0,0
16.0,2.0,8.0,DC,Male,3.0,3.0,Regular Plus,1.0,Single,1.0,0.0,13.0,0.0,3.0,165.25,Mobile,2,0
5.0,1.0,38.0,CC,Female,4.0,5.0,Super,5.0,Single,5.0,0.0,20.0,1.0,9.0,200.12,Mobile,3,0
17.0,2.0,7.0,UPI,Male,2.0,3.0,Super,1.0,Married,5.0,0.0,11.0,1.0,2.0,157.43,Computer,2,0
7.0,1.0,21.0,CC,Female,3.0,3.0,HNI,1.0,Married,2.0,0.0,11.0,0.0,5.0,179.78,Mobile,2,1
18.0,3.0,8.0,Wallet,Female,4.0,4.0,Super,3.0,Married,9.0,0.0,13.0,1.0,1.0,172.68,Computer,2,0
1.0,3.0,7.0,COD,Female,4.0,4.0,Regular Plus,4.0,Single,3.0,1.0,17.0,1.0,5.0,157.02,Mobile,0,1
12.0,3.0,14.0,CC,Female,4.0,4.0,Regular Plus,3.0,Married,4.0,1.0,12.0,2.0,8.0,151.55,Computer,2,1
16.0,1.0,37.0,COD,Female,3.0,5.0,Super,2.0,Divorced,2.0,0.0,12.0,1.0,5.0,172.23,Computer,2,0
1.0,1.0,21.0,CC,Male,3.0,6.0,Regular Plus,2.0,Married,10.0,0.0,16.0,1.0,4.0,159.08,Mobile,0,1
2.0,3.0,6.0,CC,Female,2.0,3.0,HNI,2.0,Divorced,2.0,0.0,14.0,4.0,3.0,179.18,Computer,0,0
9.0,1.0,17.0,DC,Male,2.0,3.0,Regular Plus,1.0,Married,4.0,1.0,19.0,0.0,2.0,123.56,Mobile,2,0
12.0,3.0,7.0,DC,Female,3.0,5.0,Super,1.0,Single,6.0,0.0,23.0,1.0,8.0,211.86,Mobile,2,0
9.0,3.0,15.0,Wallet,Female,4.0,5.0,HNI,2.0,Divorced,6.0,1.0,12.0,3.0,13.0,228.77,Computer,1,0
7.0,1.0,9.0,DC,Male,2.0,3.0,Regular Plus,5.0,Divorced,5.0,0.0,12.0,1.0,2.0,123.62,Mobile,3,1
19.0,3.0,39.0,Wallet,Male,3.0,5.0,Super,5.0,Married,7.0,0.0,17.0,4.0,6.0,171.85,Computer,3,0
2.0,3.0,9.0,CC,Female,2.0,3.0,Super,3.0,Married,5.0,1.0,18.0,1.0,0.0,152.38,Mobile,0,1
12.0,1.0,9.0,CC,Female,4.0,5.0,Regular Plus,4.0,Married,6.0,0.0,15.0,1.0,6.0,149.68,Computer,3,0
7.0,3.0,21.0,DC,Female,2.0,3.0,Regular Plus,3.0,Married,5.0,1.0,21.0,0.0,0.0,165.25,Mobile,2,0
18.0,1.0,19.0,DC,Male,3.0,3.0,HNI,5.0,Married,6.0,0.0,20.0,2.0,11.0,158.1,Computer,3,0
16.0,1.0,30.0,DC,Male,3.0,5.0,Super,3.0,Single,3.0,0.0,13.0,3.0,8.0,168.32,Computer,2,0
20.0,1.0,13.0,DC,Male,3.0,4.0,Super Plus,3.0,Divorced,8.0,0.0,14.0,1.0,2.0,305.61,Mobile,1,0
3.0,3.0,34.0,Wallet,Male,2.0,4.0,HNI,4.0,Single,5.0,1.0,12.0,1.0,0.0,194.94,Mobile,0,1
24.0,1.0,12.0,CC,Female,2.0,4.0,Regular Plus,3.0,Single,1.0,0.0,14.0,3.0,7.0,128.38,Computer,2,0
8.0,3.0,12.0,DC,Female,3.0,4.0,Regular Plus,3.0,Married,3.0,0.0,24.0,2.0,2.0,127.30000000000001,Mobile,2,0
99.0,1.0,7.0,DC,Male,4.0,5.0,HNI,3.0,Single,11.0,1.0,14.0,1.0,1.0,178.81,Mobile,1,1
16.0,1.0,16.0,CC,Female,4.0,4.0,Regular Plus,1.0,Single,3.0,0.0,14.0,1.0,9.0,161.73,Computer,2,0
20.0,1.0,8.0,COD,Male,2.0,4.0,Regular Plus,3.0,Single,5.0,0.0,24.0,0.0,0.0,124.78999999999999,Mobile,2,1
3.0,1.0,15.0,DC,Male,2.0,3.0,Regular Plus,2.0,Divorced,6.0,0.0,16.0,0.0,4.0,121.97,Computer,0,0
1.0,3.0,19.0,DC,Male,3.0,3.0,Regular Plus,4.0,Single,3.0,0.0,16.0,1.0,1.0,1890.0,Mobile,0,1
1.0,1.0,12.0,CC,Male,4.0,4.0,Regular Plus,1.0,Single,3.0,0.0,19.0,2.0,3.0,165.25,Mobile,0,0
14.0,1.0,6.0,DC,Male,3.0,3.0,Regular Plus,1.0,Married,4.0,0.0,22.0,0.0,0.0,127.82,Mobile,2,0
10.0,1.0,15.0,CC,Female,3.0,5.0,Super,3.0,Married,2.0,0.0,17.0,1.0,3.0,169.74,Computer,2,0
14.0,1.0,15.0,CC,Male,3.0,3.0,Regular,3.0,Married,3.0,0.0,17.0,1.0,11.0,294.19,Computer,1,0
14.0,1.0,12.0,CC,Male,3.0,4.0,Super,4.0,Single,7.0,1.0,15.0,1.0,2.0,160.32,Mobile,3,0
12.0,1.0,20.0,DC,Male,2.0,4.0,Regular,1.0,Single,5.0,0.0,13.0,0.0,3.0,295.31,Others,2,0
1.0,1.0,15.0,COD,Female,3.0,4.0,Regular Plus,5.0,Single,9.0,1.0,13.0,1.0,5.0,158.57,Mobile,0,1
15.0,1.0,35.0,DC,Female,3.0,5.0,Super Plus,4.0,Married,2.0,0.0,24.0,2.0,11.0,260.7,Mobile,3,0
7.0,1.0,8.0,COD,Female,3.0,3.0,Super,2.0,Single,2.0,0.0,11.0,1.0,11.0,166.87,Mobile,2,0
1.0,1.0,10.0,COD,Female,3.0,4.0,Regular Plus,5.0,Single,7.0,1.0,12.0,1.0,3.0,165.25,Mobile,0,1
12.0,3.0,16.0,DC,Male,3.0,5.0,Super,1.0,Married,9.0,0.0,20.0,2.0,6.0,177.49,Computer,2,0
0.0,3.0,18.0,Wallet,Female,2.0,5.0,Super,3.0,Married,1.0,0.0,17.0,1.0,0.0,123.50999999999999,Computer,0,1
20.0,1.0,13.0,CC,Female,2.0,4.0,HNI,5.0,Divorced,8.0,1.0,14.0,4.0,9.0,200.08,Mobile,1,1
9.0,1.0,12.0,CC,Male,3.0,4.0,Regular,5.0,Divorced,6.0,0.0,12.0,2.0,3.0,319.06,Mobile,1,0
9.0,1.0,14.0,CC,Male,3.0,4.0,Super,1.0,Married,8.0,0.0,17.0,1.0,8.0,186.62,Computer,2,0
17.0,1.0,34.0,DC,Female,3.0,4.0,HNI,5.0,Married,10.0,0.0,12.0,2.0,2.0,233.2,Computer,3,0
1.0,3.0,21.0,Wallet,Female,4.0,4.0,Super,3.0,Married,4.0,1.0,15.0,1.0,4.0,167.6,Mobile,0,0
11.0,3.0,20.0,DC,Male,3.0,3.0,Super,4.0,Married,1.0,0.0,11.0,5.0,7.0,199.24,Mobile,3,0
8.0,3.0,7.0,Wallet,Male,3.0,4.0,HNI,1.0,Single,5.0,0.0,22.0,2.0,2.0,223.88,Mobile,2,0
25.0,3.0,11.0,Wallet,Male,2.0,4.0,Super Plus,5.0,Divorced,5.0,0.0,11.0,1.0,16.0,275.56,Others,1,0
19.0,1.0,6.0,CC,Male,3.0,3.0,HNI,5.0,Married,8.0,0.0,16.0,0.0,3.0,193.96,Mobile,3,0
1.0,1.0,7.0,DC,Male,3.0,5.0,Super,3.0,Single,3.0,0.0,13.0,2.0,3.0,171.17,Mobile,0,0
0.0,3.0,13.0,COD,Male,3.0,3.0,Regular Plus,3.0,Married,5.0,0.0,16.0,1.0,2.0,134.09,Computer,0,1
24.0,1.0,16.0,DC,Male,4.0,4.0,Regular Plus,1.0,Married,6.0,0.0,19.0,2.0,1.0,148.8,Mobile,2,0
22.0,1.0,10.0,DC,Male,2.0,3.0,Super Plus,3.0,Single,6.0,0.0,14.0,1.0,0.0,258.79,Others,2,0
9.0,1.0,10.0,UPI,Female,3.0,3.0,Super,4.0,Married,5.0,1.0,24.0,0.0,0.0,172.62,Mobile,3,0
16.0,1.0,19.0,DC,Female,2.0,3.0,HNI,5.0,Divorced,12.0,0.0,17.0,1.0,0.0,199.85,Mobile,3,0
14.0,3.0,11.0,Wallet,Male,4.0,5.0,HNI,2.0,Divorced,9.0,0.0,12.0,3.0,3.0,233.55,Mobile,1,0
11.0,2.0,15.0,UPI,Male,3.0,4.0,Super,4.0,Married,5.0,0.0,14.0,4.0,8.0,165.71,Others,3,0
1.0,1.0,43.0,CC,Male,4.0,5.0,Regular Plus,4.0,Single,3.0,0.0,12.0,2.0,3.0,164.79,Computer,0,1
0.0,1.0,8.0,COD,Female,2.0,3.0,Regular Plus,1.0,Single,2.0,1.0,13.0,0.0,3.0,137.6,Computer,0,0
